# epoch recerr_sq kldiv lact_dec valid_recerr_sq valid_kldiv duration
57 1.1091481e+00 6.8830215e+01 1.5025134e+01 9.8742205e-01 6.9284531e+01 5.8816800e+02
58 9.9869668e-01 6.9329269e+01 1.5248567e+01 1.0415987e+00 6.9850121e+01 5.9589870e+02
59 1.0649517e+00 6.9680244e+01 1.4740505e+01 9.3929917e-01 6.9386200e+01 6.0391826e+02
60 9.2479485e-01 7.0107780e+01 1.5382712e+01 1.1441483e+00 6.9116005e+01 6.1569573e+02
61 1.5063179e+00 7.0410622e+01 1.5753017e+01 1.5613545e+00 6.7090652e+01 6.2690034e+02
62 1.3924905e+00 6.8400330e+01 1.4665479e+01 1.2176423e+00 6.8257942e+01 6.3520101e+02
63 1.2774566e+00 6.7684479e+01 1.4813106e+01 1.2292389e+00 6.7256813e+01 6.4209472e+02
64 1.1467720e+00 6.7197357e+01 1.5284211e+01 9.9217546e-01 6.7717346e+01 6.5104490e+02
65 1.1398511e+00 6.7926956e+01 1.4728141e+01 9.6065736e-01 6.8207611e+01 6.6001673e+02
66 9.9807745e-01 6.9253258e+01 1.5376447e+01 9.5013326e-01 6.8973679e+01 6.7093421e+02
67 1.0257176e+00 7.0034004e+01 1.4589658e+01 8.5959798e-01 6.9833862e+01 6.8033874e+02
68 9.2992097e-01 7.0382324e+01 1.5260138e+01 9.7019881e-01 7.0382790e+01 6.8997996e+02
69 9.0681958e-01 7.1140274e+01 1.5198901e+01 9.1018939e-01 7.1449074e+01 7.0131593e+02
70 8.9140666e-01 7.1954460e+01 1.5075814e+01 8.7895614e-01 7.1602791e+01 7.0915802e+02
71 8.5738826e-01 7.2645287e+01 1.5211847e+01 8.8193816e-01 7.1873505e+01 7.2087017e+02
72 8.5375750e-01 7.3415497e+01 1.5209155e+01 8.6122531e-01 7.3267723e+01 7.2957338e+02
73 8.6954153e-01 7.4342529e+01 1.5058444e+01 8.1364286e-01 7.4454651e+01 7.3976408e+02
74 8.5734284e-01 7.5216156e+01 1.5049649e+01 7.8738785e-01 7.5260315e+01 7.4949529e+02
75 8.3241957e-01 7.5796478e+01 1.5302503e+01 8.1001109e-01 7.6036613e+01 7.6262521e+02
76 8.5837835e-01 7.6263344e+01 1.4983713e+01 7.9215103e-01 7.6315727e+01 7.7133204e+02
77 8.3339494e-01 7.6593307e+01 1.5175547e+01 8.1180590e-01 7.6587601e+01 7.8095711e+02
78 8.6080569e-01 7.6795959e+01 1.5060295e+01 8.2590455e-01 7.7015091e+01 7.8896957e+02
79 8.4077281e-01 7.7229858e+01 1.5192374e+01 7.8657907e-01 7.6982117e+01 7.9933856e+02
80 8.1350470e-01 7.7462013e+01 1.5207846e+01 7.9764700e-01 7.7177307e+01 8.0674642e+02
81 8.4197634e-01 7.7800438e+01 1.5014492e+01 8.2937837e-01 7.7092873e+01 8.1839571e+02
82 8.4400117e-01 7.8190346e+01 1.5227146e+01 8.4193558e-01 7.7490013e+01 8.2518972e+02
83 8.6275709e-01 7.8238464e+01 1.4978785e+01 7.9346842e-01 7.7722862e+01 8.3717158e+02
84 8.1443083e-01 7.8444466e+01 1.5153011e+01 7.7021599e-01 7.8001945e+01 8.4768233e+02
85 8.4594774e-01 7.8663940e+01 1.5167561e+01 8.6219519e-01 7.7805252e+01 8.5656059e+02
86 8.4969038e-01 7.8773193e+01 1.5169600e+01 7.9977590e-01 7.8262077e+01 8.6770660e+02
87 8.5025668e-01 7.9037605e+01 1.5093836e+01 8.4064704e-01 7.8526772e+01 8.7989324e+02
