# epoch recerr_sq kldiv lact_dec valid_recerr_sq valid_kldiv duration
57 9.5098895e-01 5.4948715e+01 0.0000000e+00 8.7888956e-01 5.3998936e+01 2.8374430e+01
58 9.4045824e-01 5.5282001e+01 0.0000000e+00 9.0706217e-01 5.4160301e+01 2.8902303e+01
59 9.2183769e-01 5.5533619e+01 0.0000000e+00 8.7857521e-01 5.5178638e+01 2.9296152e+01
60 9.2114699e-01 5.5834076e+01 0.0000000e+00 8.6382586e-01 5.5395580e+01 2.9721456e+01
61 8.8903338e-01 5.6133282e+01 0.0000000e+00 8.4627646e-01 5.5187523e+01 2.9949934e+01
62 8.7862104e-01 5.6393299e+01 0.0000000e+00 8.3472109e-01 5.5965721e+01 3.0662918e+01
63 8.7176895e-01 5.6780884e+01 0.0000000e+00 8.2325906e-01 5.6414013e+01 3.0997845e+01
64 8.5435975e-01 5.7190731e+01 0.0000000e+00 7.9113996e-01 5.6435894e+01 3.1667205e+01
65 8.3290946e-01 5.7605869e+01 0.0000000e+00 8.0289429e-01 5.6124672e+01 3.2431832e+01
66 8.6286324e-01 5.7901054e+01 0.0000000e+00 8.5541314e-01 5.5595558e+01 3.3030006e+01
67 8.5979784e-01 5.7659023e+01 0.0000000e+00 7.5514579e-01 5.6955284e+01 3.3141137e+01
68 8.4350890e-01 5.7398026e+01 0.0000000e+00 9.2838532e-01 5.7407684e+01 3.3618999e+01
69 1.3352325e+00 5.6863251e+01 0.0000000e+00 1.0498296e+00 5.2075947e+01 3.3874026e+01
70 9.9910295e-01 5.3861603e+01 0.0000000e+00 1.0140789e+00 5.0894764e+01 3.4322396e+01
71 9.6876281e-01 5.1525673e+01 0.0000000e+00 9.3675393e-01 4.9187881e+01 3.4649024e+01
72 9.0003234e-01 4.9373257e+01 0.0000000e+00 7.9080552e-01 4.6420795e+01 3.4947373e+01
73 8.4155935e-01 4.7539623e+01 0.0000000e+00 7.4325514e-01 4.5888008e+01 3.5435158e+01
74 8.1062406e-01 4.6427155e+01 0.0000000e+00 7.4793643e-01 4.4582577e+01 3.6032980e+01
75 7.8340060e-01 4.6201828e+01 0.0000000e+00 7.0159173e-01 4.5426071e+01 3.6144245e+01
76 7.4220687e-01 4.7264950e+01 0.0000000e+00 6.9201827e-01 4.6856514e+01 3.6969304e+01
77 7.2650409e-01 4.8532909e+01 0.0000000e+00 6.6484046e-01 4.7687550e+01 3.7604891e+01
78 7.1087807e-01 4.9821609e+01 0.0000000e+00 6.3379651e-01 5.0160542e+01 3.8125345e+01
79 6.8230736e-01 5.1614304e+01 0.0000000e+00 6.3434029e-01 5.1479073e+01 3.8800747e+01
80 6.7291796e-01 5.3128139e+01 0.0000000e+00 6.2649679e-01 5.3065842e+01 3.9339059e+01
81 6.7465103e-01 5.4912247e+01 0.0000000e+00 6.1104316e-01 5.5151817e+01 4.0084783e+01
82 6.6104424e-01 5.6678123e+01 0.0000000e+00 6.1795264e-01 5.6149555e+01 4.0853828e+01
83 6.5932292e-01 5.8079712e+01 0.0000000e+00 6.1752129e-01 5.8152855e+01 4.1380933e+01
84 6.5515184e-01 5.9574657e+01 0.0000000e+00 6.0838515e-01 5.8724625e+01 4.1957832e+01
85 6.5728098e-01 6.0656593e+01 0.0000000e+00 5.9447783e-01 6.0423206e+01 4.2486428e+01
86 6.4172196e-01 6.1802055e+01 0.0000000e+00 5.9650958e-01 6.0926949e+01 4.3072509e+01
87 6.4967012e-01 6.2676197e+01 0.0000000e+00 5.8289456e-01 6.2230927e+01 4.3868151e+01
88 6.3047141e-01 6.3498917e+01 0.0000000e+00 5.7853967e-01 6.3101097e+01 4.4131336e+01
89 6.2679487e-01 6.4258896e+01 0.0000000e+00 5.8023947e-01 6.3545742e+01 4.4389100e+01
90 6.1930722e-01 6.4866379e+01 0.0000000e+00 5.7972234e-01 6.3665859e+01 4.4714106e+01
