# epoch recerr_sq kldiv unmix dataug lact_dec valid_recerr_sq valid_kldiv duration
43 6.3417873e+01 1.5997383e+03 2.3676704e+01 2.4095789e-02 4.7330612e+01 7.4102570e+01 1.4014763e+03 1.9069631e+02
44 6.2089729e+01 1.5222189e+03 2.2647192e+01 2.2240922e-02 4.5773922e+01 7.1838921e+01 1.4724824e+03 1.9513734e+02
45 6.1247433e+01 1.4382926e+03 2.2619637e+01 2.3474539e-02 4.5171150e+01 7.5521133e+01 1.2327009e+03 1.9957473e+02
46 6.0796925e+01 1.1303402e+03 2.3193121e+01 2.7267590e-02 4.4241306e+01 7.3914200e+01 1.1137269e+03 2.0401273e+02
47 5.9712482e+01 9.7887885e+02 2.2748533e+01 2.3446480e-02 4.3899391e+01 7.0847687e+01 8.6302875e+02 2.0847085e+02
48 5.8768993e+01 8.3326160e+02 2.2979342e+01 1.9749412e-02 4.3380539e+01 7.2362679e+01 6.3966925e+02 2.1290776e+02
49 5.8316864e+01 7.5453192e+02 2.2194763e+01 2.1654200e-02 4.1918365e+01 6.8283806e+01 6.8928076e+02 2.1728283e+02
50 5.7333134e+01 6.3847357e+02 2.2244497e+01 2.1067217e-02 4.2086693e+01 7.3157768e+01 4.3342709e+02 2.2178357e+02
51 5.7462952e+01 5.2795575e+02 2.2381392e+01 2.4837708e-02 4.2103683e+01 6.7936447e+01 4.3230087e+02 2.2618636e+02
52 5.6234299e+01 4.7031296e+02 2.2682673e+01 1.8895295e-02 4.1256680e+01 7.2630547e+01 3.6865363e+02 2.3065162e+02
53 5.5769676e+01 3.7309714e+02 2.2278973e+01 2.9249629e-02 4.1735832e+01 6.3710903e+01 3.1595297e+02 2.3506389e+02
54 5.4319809e+01 2.8376501e+02 2.1940693e+01 2.0440808e-02 4.1490673e+01 6.2443813e+01 2.4642281e+02 2.3952844e+02
55 5.4943943e+01 2.7278384e+02 2.2532778e+01 2.7329315e-02 4.2706177e+01 6.4562607e+01 3.2702975e+02 2.4399222e+02
56 5.3675930e+01 3.2251733e+02 2.1933851e+01 2.1571178e-02 4.0829220e+01 6.5025627e+01 2.6530933e+02 2.4847610e+02
57 5.3074558e+01 2.9016943e+02 2.2895281e+01 2.2585239e-02 4.2735535e+01 6.2890083e+01 2.2173302e+02 2.5295110e+02
58 5.2611206e+01 2.7391119e+02 2.2667072e+01 1.8831715e-02 4.1180489e+01 6.6695259e+01 2.5236438e+02 2.5743873e+02
59 5.1822056e+01 2.6598404e+02 2.1686460e+01 2.0399112e-02 4.1402718e+01 6.1518250e+01 2.3264211e+02 2.6183511e+02
