# epoch recerr_sq kldiv unmix dataug lact_dec valid_recerr_sq valid_kldiv duration
1 7.6657544e+02 6.3616538e-01 0.0000000e+00 0.0000000e+00 0.0000000e+00 5.9538849e+02 2.8906791e+00 4.6642208e-01
2 4.8071906e+02 7.6662359e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 3.1690793e+02 1.8353802e+01 6.3188434e-01
3 2.2508653e+02 2.6622894e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.1431945e+02 3.2291935e+01 7.8934288e-01
4 7.8526138e+01 3.5395611e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 4.6419209e+01 4.0925182e+01 9.8902655e-01
5 3.5870274e+01 4.2281094e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 2.5023613e+01 4.3436970e+01 1.1650267e+00
6 1.9783457e+01 4.5491264e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.3968251e+01 4.8046673e+01 1.3420024e+00
7 1.1928414e+01 4.7491333e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 9.2545443e+00 4.7156639e+01 1.5320239e+00
8 8.1173649e+00 4.7216751e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 6.1784711e+00 4.7489681e+01 1.7026174e+00
9 5.3720517e+00 4.6557774e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 4.4826975e+00 4.6366360e+01 1.8791029e+00
10 4.2173491e+00 4.5854359e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 3.4702373e+00 4.5782539e+01 2.0497901e+00
11 3.3122799e+00 4.5290684e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 2.7467132e+00 4.5127312e+01 2.2352087e+00
12 2.6634519e+00 4.4886215e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 2.4929690e+00 4.4618858e+01 2.4612195e+00
13 2.2495952e+00 4.4463524e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 2.0376563e+00 4.4119503e+01 2.6370602e+00
14 1.8837386e+00 4.3946056e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.6106265e+00 4.3738602e+01 2.8391685e+00
15 1.5830060e+00 4.3451355e+01 0.0000000e+00 0.0000000e+00 0.0000000e+00 1.3434584e+00 4.3377094e+01 2.9899640e+00
