# epoch recerr_sq kldiv unmix dataug lact_dec valid_recerr_sq valid_kldiv duration
43 1.7200599e+00 4.7685657e+00 4.0478775e+02 1.2275984e-03 0.0000000e+00 1.7554498e+00 4.6452670e+00 5.4375986e+01
44 1.7373340e+00 4.6013856e+00 4.0216052e+02 1.2689595e-03 0.0000000e+00 1.7472650e+00 4.5616179e+00 5.5732917e+01
45 1.7013021e+00 4.6013274e+00 3.9882349e+02 1.4767301e-03 0.0000000e+00 1.6828055e+00 4.6456065e+00 5.6972088e+01
46 1.6389917e+00 4.6198444e+00 3.9858185e+02 1.1767399e-03 0.0000000e+00 1.6327271e+00 4.6300635e+00 5.8226411e+01
47 1.5869973e+00 4.6100183e+00 3.9885287e+02 1.3836281e-03 0.0000000e+00 1.5763733e+00 4.6206923e+00 5.9449586e+01
48 1.5411384e+00 4.5719528e+00 3.9822250e+02 1.3533802e-03 0.0000000e+00 1.5381765e+00 4.5009990e+00 6.0706026e+01
49 1.5094686e+00 4.4725714e+00 3.9707562e+02 1.1626336e-03 0.0000000e+00 1.5179497e+00 4.3451185e+00 6.2029106e+01
50 1.4902263e+00 4.2812042e+00 3.9528931e+02 1.3468672e-03 0.0000000e+00 1.4926304e+00 4.1681075e+00 6.3227459e+01
51 1.4670796e+00 4.0928502e+00 3.9185699e+02 1.3512929e-03 0.0000000e+00 1.4772807e+00 3.9583328e+00 6.4446451e+01
52 1.4586505e+00 3.8541481e+00 3.8913327e+02 1.1874110e-03 0.0000000e+00 1.4659177e+00 3.7269986e+00 6.5649667e+01
53 1.4626161e+00 3.6507332e+00 3.8615768e+02 1.3882316e-03 0.0000000e+00 1.4553347e+00 3.5396481e+00 6.6878996e+01
54 1.4357712e+00 3.4766240e+00 3.8158478e+02 1.3382797e-03 0.0000000e+00 1.4440001e+00 3.3810923e+00 6.8116117e+01
55 1.4199060e+00 3.2793832e+00 3.7788910e+02 1.1737822e-03 0.0000000e+00 1.4523858e+00 3.2251544e+00 6.9358416e+01
56 1.4255277e+00 3.0748286e+00 3.7403174e+02 1.1896041e-03 0.0000000e+00 1.4608443e+00 3.0440111e+00 7.0608363e+01
57 1.4399780e+00 2.9310784e+00 3.6985645e+02 1.2798239e-03 0.0000000e+00 1.4359202e+00 2.8143408e+00 7.1889708e+01
58 1.4354492e+00 2.8623168e+00 3.6502307e+02 1.1021036e-03 0.0000000e+00 1.4579146e+00 2.6889486e+00 7.3094678e+01
59 1.4464160e+00 2.8294411e+00 3.5819254e+02 1.2635570e-03 0.0000000e+00 1.4579654e+00 2.6750939e+00 7.4418864e+01
60 1.4380851e+00 2.8084853e+00 3.4899881e+02 1.3109664e-03 0.0000000e+00 1.4590805e+00 2.9960356e+00 7.5676222e+01
61 1.4402835e+00 2.8432148e+00 3.3970264e+02 1.0881985e-03 0.0000000e+00 1.5184627e+00 3.2412040e+00 7.6900572e+01
62 1.4866378e+00 2.8242743e+00 3.2861557e+02 1.2000443e-03 0.0000000e+00 1.4946480e+00 3.2389381e+00 7.8161703e+01
63 1.5034429e+00 3.0212898e+00 3.1695459e+02 1.2438166e-03 0.0000000e+00 1.4817278e+00 2.9770074e+00 7.9437905e+01
