# epoch recerr_sq kldiv unmix dataug lact_dec valid_recerr_sq valid_kldiv duration
43 1.3390293e+00 5.5960272e+02 7.8622818e+00 4.4500796e-04 2.6636612e+00 1.3318743e+00 9.8545135e+02 7.4168355e+01
44 1.3330388e+00 8.9738348e+02 7.5824919e+00 5.0836353e-04 2.6372011e+00 1.3028351e+00 1.1513783e+03 7.5893293e+01
45 1.2796038e+00 1.7338038e+03 6.8952637e+00 4.6105593e-04 2.6742215e+00 1.3314230e+00 2.2250215e+03 7.7551416e+01
46 1.2327009e+00 3.9573931e+03 6.9976959e+00 4.3719087e-04 2.5054369e+00 1.2603233e+00 3.6694524e+03 7.9231835e+01
47 1.2826853e+00 3.9127188e+03 7.2739668e+00 4.3839961e-04 2.5805287e+00 1.2063221e+00 4.4441040e+03 8.0872968e+01
48 1.1881710e+00 2.9536462e+03 6.8602109e+00 4.6000676e-04 2.6107361e+00 1.2216064e+00 2.3179648e+03 8.2501512e+01
49 1.1356413e+00 2.4704263e+03 6.8339882e+00 4.0354131e-04 2.5495474e+00 1.1065915e+00 1.5118102e+03 8.3855166e+01
50 1.1042620e+00 1.4976837e+03 6.9175863e+00 4.1430866e-04 2.6409893e+00 1.0963237e+00 1.3648239e+03 8.5412576e+01
51 1.0938451e+00 1.5931539e+03 6.9980035e+00 3.8080706e-04 2.7128232e+00 1.0813801e+00 3.4315298e+03 8.7155701e+01
52 1.1153877e+00 6.1370928e+03 8.2385883e+00 4.2489395e-04 2.7438028e+00 1.2872097e+00 9.4148438e+03 8.8871012e+01
53 1.1499732e+00 7.2197109e+03 9.0412340e+00 4.0240702e-04 2.8060298e+00 1.2455715e+00 2.6142312e+03 9.0556575e+01
54 1.1010408e+00 2.4403789e+03 7.9193611e+00 3.6752407e-04 2.8940411e+00 1.1237698e+00 1.3447644e+03 9.2186012e+01
55 1.1649289e+00 1.1098177e+03 8.1788721e+00 3.4797273e-04 2.6893530e+00 1.0029140e+00 1.0051253e+03 9.3866999e+01
56 1.0365580e+00 8.9393176e+02 8.4466133e+00 3.8779137e-04 2.6985357e+00 1.0174083e+00 1.2180918e+03 9.5525952e+01
57 1.0082701e+00 1.2372916e+03 7.6568184e+00 3.6772829e-04 2.6787908e+00 9.4152433e-01 1.8648983e+03 9.7237094e+01
58 9.4006443e-01 8.3468193e+03 8.2542353e+00 3.7321378e-04 2.7794864e+00 9.6235144e-01 1.0292653e+04 9.8894129e+01
59 9.3246019e-01 9.3847881e+03 8.4346046e+00 3.3042202e-04 2.7670271e+00 9.1329879e-01 6.3504692e+03 1.0054721e+02
60 9.0977985e-01 3.6580242e+03 7.7982230e+00 3.6618829e-04 2.8309193e+00 9.6109104e-01 1.8908126e+03 1.0226733e+02
61 9.2334116e-01 1.7803785e+03 7.4053869e+00 3.4606436e-04 2.6089282e+00 8.7219667e-01 1.3436746e+03 1.0393011e+02
62 8.8105905e-01 1.5396987e+03 7.2082567e+00 3.3010088e-04 2.6966023e+00 8.7136501e-01 1.7678016e+03 1.0557154e+02
63 8.4815985e-01 3.6868516e+03 7.3102636e+00 3.2343782e-04 2.6918900e+00 8.5556298e-01 6.8201255e+03 1.0736216e+02
64 8.3658701e-01 5.6983628e+03 6.9464450e+00 3.5410459e-04 2.6013262e+00 8.2725686e-01 6.5362432e+03 1.0917874e+02
65 8.1494170e-01 7.6789912e+03 8.0303154e+00 3.2477698e-04 2.7456567e+00 8.3196217e-01 7.8409243e+03 1.1085738e+02
66 8.0128485e-01 6.7215864e+03 7.8968248e+00 3.2413553e-04 2.8453345e+00 8.2192248e-01 2.9352144e+03 1.1259645e+02
67 8.2132977e-01 2.4911187e+03 6.9689374e+00 3.1640063e-04 2.7375884e+00 8.0109078e-01 2.5561470e+03 1.1430932e+02
68 8.0049419e-01 2.0867117e+03 7.3418789e+00 3.3555579e-04 2.5647180e+00 8.0985856e-01 2.6176489e+03 1.1608642e+02
69 8.0127877e-01 1.8816903e+03 7.6933885e+00 3.1472504e-04 2.7537634e+00 8.1955093e-01 1.2274468e+03 1.1774958e+02
70 7.8120136e-01 1.7285255e+03 7.3060317e+00 3.0839248e-04 2.7456472e+00 7.7045435e-01 2.4630740e+03 1.1945020e+02
71 7.4373537e-01 3.1744092e+03 7.2853618e+00 2.9106118e-04 2.6162405e+00 7.7006936e-01 4.5332358e+03 1.2120882e+02
