# epoch recerr_sq kldiv unmix dataug lact_dec valid_recerr_sq valid_kldiv duration
43 7.6964927e-01 1.7491604e+01 1.5000621e+01 7.0184863e-01 4.1526809e+00 8.1446439e-01 1.7459011e+01 5.8729098e+01
44 7.6750815e-01 1.7655033e+01 1.4839084e+01 6.7675442e-01 4.1565809e+00 8.0937588e-01 1.7564022e+01 6.0060487e+01
45 7.5818181e-01 1.7756817e+01 1.4659286e+01 6.2908638e-01 4.0841060e+00 8.0179262e-01 1.7707726e+01 6.1372584e+01
46 7.4967724e-01 1.7889656e+01 1.4508109e+01 6.2108707e-01 4.0782475e+00 7.9724294e-01 1.7850378e+01 6.3327307e+01
47 7.4254775e-01 1.8029562e+01 1.4367758e+01 5.9753674e-01 4.0734639e+00 7.8977513e-01 1.8029858e+01 6.4624132e+01
48 7.3598075e-01 1.8124445e+01 1.4293162e+01 6.5037245e-01 4.0779018e+00 7.8442007e-01 1.8071095e+01 6.7123520e+01
49 7.3005164e-01 1.8238304e+01 1.4162398e+01 6.1221421e-01 4.0479650e+00 7.7879959e-01 1.8111959e+01 6.8613003e+01
50 7.2446507e-01 1.8329447e+01 1.4040965e+01 6.0003406e-01 4.0291662e+00 7.7182084e-01 1.8289219e+01 7.0395929e+01
51 7.1587920e-01 1.8419271e+01 1.3942266e+01 5.6555665e-01 3.9878595e+00 7.6067531e-01 1.8389908e+01 7.1607886e+01
52 7.0893127e-01 1.8530024e+01 1.3825009e+01 5.6413764e-01 4.0128069e+00 7.5361580e-01 1.8485821e+01 7.2916678e+01
53 7.0002586e-01 1.8641270e+01 1.3711992e+01 5.4736477e-01 3.9591284e+00 7.4375820e-01 1.8557106e+01 7.4412835e+01
54 6.9015944e-01 1.8786448e+01 1.3602612e+01 5.6794697e-01 3.9469199e+00 7.2624075e-01 1.8790558e+01 7.5822019e+01
55 6.7544520e-01 1.8978699e+01 1.3485939e+01 4.9487311e-01 3.9696891e+00 7.2580630e-01 1.8984482e+01 7.7437066e+01
56 6.7093343e-01 1.9213863e+01 1.3424489e+01 5.1485872e-01 3.9444404e+00 7.0466357e-01 1.9200092e+01 7.8982959e+01
57 6.6127443e-01 1.9432993e+01 1.3338982e+01 5.6098729e-01 3.9341385e+00 6.9533348e-01 1.9525087e+01 8.0397066e+01
58 6.4433974e-01 1.9705921e+01 1.3201859e+01 4.9988306e-01 3.9702280e+00 6.9807684e-01 1.9642210e+01 8.1879045e+01
59 6.4061916e-01 1.9878952e+01 1.3098877e+01 5.0844109e-01 3.9398699e+00 7.1378696e-01 1.9849937e+01 8.3175769e+01
60 6.6545314e-01 2.0041828e+01 1.3014134e+01 4.7011861e-01 3.9410233e+00 7.2189891e-01 2.0090570e+01 8.4307045e+01
61 7.0238435e-01 2.0256264e+01 1.2905852e+01 5.2724284e-01 3.9494703e+00 7.3064476e-01 2.0230589e+01 8.5567506e+01
62 6.5980965e-01 2.0371473e+01 1.2570907e+01 4.7533864e-01 3.9437997e+00 7.3599440e-01 2.0418591e+01 8.6727419e+01
63 6.5255457e-01 2.0395781e+01 1.2207445e+01 5.1043731e-01 3.9400756e+00 6.9885588e-01 2.0435007e+01 8.8052561e+01
64 6.2285757e-01 2.0459414e+01 1.1911415e+01 5.1659852e-01 3.9742844e+00 6.8105018e-01 2.0509359e+01 8.9389884e+01
65 6.1638808e-01 2.0518837e+01 1.1735366e+01 4.6409577e-01 3.9393041e+00 6.6968691e-01 2.0539206e+01 9.0838051e+01
66 6.0701060e-01 2.0640257e+01 1.1582125e+01 4.7190258e-01 3.9480953e+00 6.6787893e-01 2.0575792e+01 9.2303238e+01
67 5.9475529e-01 2.0706833e+01 1.1402615e+01 4.6014386e-01 3.9500690e+00 6.5946877e-01 2.0524540e+01 9.3899922e+01
